   Node |    u            v           fint-u       fint-v       S11          S22          S12          
    72  |    4.160e-03    4.717e-03    1.492e-13   -2.096e-13    8.953e+02    4.819e+02    4.468e+00   
    73  |    7.223e-03    4.634e-03    5.116e-13   -2.744e-13    1.691e+03    4.731e+02   -2.465e+02   
    74  |    1.071e-02    4.955e-03   -6.537e-13   -2.416e-13    2.676e+03    3.413e+02   -4.154e+02   
    75  |    1.421e-02    5.834e-03    2.274e-13    3.375e-14    3.692e+03    1.501e+02   -3.444e+02   
    76  |   -3.715e-03    3.491e-03    2.132e-13   -9.237e-14   -1.130e+03    5.711e+01    1.319e+02   
    77  |   -1.970e-03    3.086e-03   -7.105e-15    1.066e-14   -6.184e+02    1.466e+02    2.062e+02   
    78  |   -3.336e-04    2.738e-03   -4.263e-14   -1.137e-13   -1.163e+02    2.554e+02    1.997e+02   
    79  |    1.375e-03    2.459e-03   -1.847e-13    6.750e-14    4.361e+02    3.555e+02    1.156e+02   
    80  |    3.308e-03    2.309e-03    1.137e-13   -2.842e-14    1.088e+03    4.067e+02   -2.064e+01   
    81  |    5.531e-03    2.407e-03    4.974e-13    7.105e-14    1.865e+03    3.716e+02   -1.621e+02   
    82  |    7.985e-03    2.896e-03    4.263e-13    8.882e-15    2.719e+03    2.453e+02   -2.440e+02   
    83  |    1.045e-02    3.837e-03    5.684e-14    3.277e-13    3.516e+03    9.857e+01   -1.976e+02   
    84  |   -2.484e-03    1.620e-03   -5.684e-14    1.510e-14   -1.214e+03    3.473e+01    7.115e+01   
    85  |   -1.261e-03    1.215e-03    4.263e-14   -6.395e-14   -6.423e+02    9.681e+01    1.111e+02   
    86  |   -1.448e-04    9.274e-04   -2.132e-14   -5.684e-14   -7.174e+01    1.997e+02    9.134e+01   
    87  |    1.003e-03    7.342e-04    6.395e-14    7.105e-15    5.272e+02    3.025e+02    3.305e+01   
    88  |    2.265e-03    6.761e-04    5.684e-14    5.329e-14    1.193e+03    3.662e+02   -3.816e+01   
    89  |    3.673e-03    8.428e-04   -1.563e-13   -1.403e-13    1.938e+03    3.610e+02   -8.956e+01   
    90  |    5.196e-03    1.347e-03   -5.684e-14   -3.908e-14    2.730e+03    2.729e+02   -9.489e+01   
    91  |    6.810e-03    2.291e-03   -2.274e-13   -1.810e-13    3.428e+03    1.177e+02   -7.145e+01   
    92  |   -1.172e-03    4.365e-04    4.263e-14    5.329e-15   -1.248e+03   -9.794e+01    5.154e+01   
    93  |   -5.828e-04    1.547e-04   -3.553e-15   -1.288e-14   -6.236e+02   -1.617e+01    1.590e+01   
    94  |   -2.938e-05   -1.574e-05    1.621e-14   -6.217e-15   -2.765e+01    1.144e+02   -3.110e+01   
    95  |    5.327e-04   -1.200e-04   -7.105e-14    2.309e-14    5.794e+02    2.531e+02   -7.514e+01   
    96  |    1.137e-03   -1.401e-04   -1.421e-14   -1.066e-14    1.229e+03    3.733e+02   -1.016e+02   
    97  |    1.791e-03   -2.274e-05    4.263e-14   -7.105e-15    1.929e+03    4.553e+02   -8.652e+01   
    98  |    2.487e-03    3.061e-04   -8.527e-14   -7.105e-15    2.665e+03    4.788e+02   -5.169e+00   
    99  |    3.194e-03    9.590e-04    5.684e-14   -4.263e-14    3.402e+03    4.105e+02    1.138e+02   
 
